"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,5.21617580957649,0.889,0.053,0,"0","CEACAM6"
"2",0,4.7778795487237,0.976,0.141,0,"0","KRT19"
"3",0,4.23583249963804,0.919,0.107,0,"0","KRT17"
"4",0,5.66281365398466,0.85,0.065,0,"0","OLFM4"
"5",0,3.80772163398469,0.89,0.114,0,"0","TM4SF1"
"6",0,3.97120586636104,0.824,0.067,0,"0","EPCAM"
"7",0,3.87657360534375,0.805,0.071,0,"0","ITGB4"
"8",0,3.38235553507669,0.863,0.166,0,"0","MMP7"
"9",0,3.5417876729011,0.756,0.071,0,"0","S100P"
"10",0,3.46009665418299,0.733,0.072,0,"0","SOX9"
"11",0,3.51970422554168,0.695,0.067,0,"0","EPHA2"
"12",0,3.24429200347648,0.696,0.074,0,"0","ITGA3"
"13",0,3.38249795237281,0.659,0.059,0,"0","TACSTD2"
"14",0,3.29670139456286,0.984,0.388,0,"0","S100A6"
"15",0,3.89097038805556,0.646,0.053,0,"0","CXCL5"
"16",0,3.23950424541885,0.648,0.057,0,"0","CDH1"
"17",0,4.36532205646126,0.589,0.037,0,"0","MMP1"
"18",0,3.8389064769536,0.564,0.036,0,"0","AGR2"
"19",0,3.25982816798654,0.577,0.049,0,"0","SPINK1"
"20",0,3.24528609911521,0.485,0.036,0,"0","COL17A1"
"21",0,4.05890891442747,0.672,0.079,0,"1","CD163"
"22",0,2.42907993406009,0.835,0.291,0,"1","HLA-DRA"
"23",0,2.44363395424469,0.899,0.358,0,"1","HLA-DPA1"
"24",0,2.49441066780511,0.923,0.391,0,"1","HLA-DRB1"
"25",0,3.10420025969064,0.705,0.183,0,"1","C1QA"
"26",0,3.12062465644729,0.668,0.163,0,"1","C1QC"
"27",0,3.30756838135448,0.605,0.108,0,"1","C1QB"
"28",0,2.47367724723934,0.685,0.201,0,"1","HLA-DQA1"
"29",0,2.62640258362708,0.686,0.212,0,"1","CD68"
"30",0,2.21871187898431,0.67,0.206,0,"1","HLA-DPB1"
"31",0,2.88312005606047,0.563,0.112,0,"1","CD14"
"32",0,2.1920326096417,0.646,0.213,0,"1","HLA-DQB1"
"33",0,2.4030511763201,0.688,0.264,0,"1","GLUL"
"34",0,3.38800104343212,0.504,0.096,0,"1","GPNMB"
"35",0,2.54037824093754,0.898,0.548,0,"1","PSAP"
"36",0,2.95221955382464,0.308,0.045,0,"1","MRC1"
"37",0,2.29039817440712,0.352,0.108,0,"1","SELENOP"
"38",0,2.71557259090598,0.272,0.039,0,"1","MS4A4A"
"39",0,2.31452264851462,0.257,0.054,0,"1","CSF1R"
"40",0,2.26824374778454,0.263,0.098,0,"1","CCL18"
"41",0,3.66956629900592,0.488,0.073,0,"2","IL7R"
"42",0,2.39036270416278,0.512,0.142,0,"2","PTPRC"
"43",0,3.02411215016352,0.374,0.067,0,"2","CD2"
"44",0,2.64026780259581,0.402,0.097,0,"2","FYN"
"45",0,1.62461871214993,0.636,0.34,0,"2","IL32"
"46",0,1.70696403353516,0.544,0.256,0,"2","BTG1"
"47",0,2.96720944475435,0.332,0.055,0,"2","ITK"
"48",0,2.38057044446089,0.341,0.092,0,"2","FYB1"
"49",0,2.1740651492391,0.368,0.119,0,"2","ETS1"
"50",0,3.14924861525198,0.322,0.08,0,"2","CCL5"
"51",0,2.26960342909653,0.293,0.084,0,"2","CD69"
"52",0,1.92039488239173,0.299,0.099,0,"2","PTPRCAP"
"53",0,1.79989290537253,0.297,0.109,0,"2","IL10RA"
"54",0,2.09599979998683,0.264,0.084,0,"2","SPOCK2"
"55",0,2.28802463941789,0.262,0.091,0,"2","DUSP2"
"56",0,1.51253793777668,0.279,0.11,0,"2","CD52"
"57",0,1.69171523986748,0.274,0.113,0,"2","IL2RG"
"58",0,1.55671993276202,0.265,0.109,0,"2","CD48"
"59",0,1.53252796799085,0.303,0.147,0,"2","MAF"
"60",0,1.52590796873324,0.257,0.122,0,"2","BCL2"
"61",0,3.33138509838369,0.782,0.198,0,"3","COL1A2"
"62",0,3.13197251032688,0.85,0.266,0,"3","COL3A1"
"63",0,3.3212591641496,0.79,0.235,0,"3","FN1"
"64",0,3.16027233364877,0.915,0.382,0,"3","COL1A1"
"65",0,2.49387948839061,0.818,0.292,0,"3","BGN"
"66",0,3.08477849885809,0.607,0.141,0,"3","COL6A3"
"67",0,2.47290336958571,0.595,0.183,0,"3","DCN"
"68",0,2.36292080763029,0.597,0.189,0,"3","COL6A2"
"69",0,2.41668609924842,0.635,0.228,0,"3","TAGLN"
"70",0,2.7664309510148,0.535,0.129,0,"3","LUM"
"71",0,2.83912938887818,0.458,0.092,0,"3","COL5A1"
"72",0,2.55106451991367,0.507,0.152,0,"3","MMP2"
"73",0,2.74888715503399,0.422,0.094,0,"3","COL5A2"
"74",0,2.94217337350762,0.392,0.075,0,"3","CDH11"
"75",0,2.59539973009095,0.418,0.134,0,"3","IGFBP5"
"76",0,2.55990295193972,0.342,0.089,0,"3","COL16A1"
"77",0,2.71880356239488,0.322,0.075,0,"3","ACTA2"
"78",0,2.52890610862565,0.304,0.073,0,"3","COL8A1"
"79",0,2.54756001960974,0.288,0.067,0,"3","INHBA"
"80",0,2.75067634556551,0.272,0.059,0,"3","MEG3"
"81",0,4.48501439618182,0.677,0.099,0,"4","CXCL8"
"82",0,3.53526641119834,0.326,0.077,0,"4","IL1R2"
"83",0,1.52550030545209,0.556,0.331,0,"4","SRGN"
"84",0,3.12218974901178,0.266,0.063,0,"4","CSF3R"
"85",0,2.28739217244326,0.278,0.11,0,"4","ITGAX"
"86",0,2.32200465174041,0.26,0.104,0,"4","TLR2"
"87",0,1.52837949657696,0.317,0.174,0,"4","FCGR3A"
"88",0,1.32138334943187,0.631,0.523,0,"4","FKBP11"
"89",0,1.17225145188196,0.997,0.954,0,"4","MZT2A"
"90",0,0.655156974215276,0.845,0.84,0,"4","COL9A2"
"91",2.93696398286923e-219,1.49556513736226,0.397,0.311,2.87822470321184e-216,"4","S100A9"
"92",2.36534122984004e-211,0.54294985259925,0.71,0.715,2.31803440524324e-208,"4","NPPC"
"93",1.5957132482255e-191,1.11205211431057,0.435,0.343,1.56379898326099e-188,"4","SOD2"
"94",3.41634814520154e-65,0.717947257695426,0.362,0.318,3.34802118229751e-62,"4","GLUL"
"95",1.77436897296834e-31,0.61977372527838,0.387,0.367,1.73888159350898e-28,"4","DUSP1"
"96",2.69516947545502e-24,0.357786956173411,0.186,0.262,2.64126608594592e-21,"4","UBE2C"
"97",1.27383186838256e-17,0.715933736939206,0.327,0.339,1.24835523101491e-14,"4","WIF1"
"98",4.67149961183866e-07,0.510164725712372,0.25,0.247,0.000457806961960189,"4","CD53"
"99",0.000668286677318353,0.811244896761318,0.235,0.254,0.654920943771986,"4","RARA"
"100",0.00466886639040402,0.485856189748773,0.244,0.253,1,"4","GADD45B"
"101",0,2.93792953311078,0.773,0.172,0,"5","COL4A2"
"102",0,3.42684146342214,0.71,0.118,0,"5","COL4A1"
"103",0,3.21137902343713,0.607,0.098,0,"5","SPARCL1"
"104",0,4.60302172077379,0.546,0.047,0,"5","VWF"
"105",0,3.26715760248759,0.571,0.093,0,"5","PECAM1"
"106",0,2.96865191350752,0.462,0.073,0,"5","ESAM"
"107",0,2.46358825839786,0.522,0.149,0,"5","COL18A1"
"108",0,2.49370708776914,0.476,0.107,0,"5","ITGA5"
"109",0,3.31309767504566,0.415,0.049,0,"5","CDH5"
"110",0,2.73792446006973,0.464,0.098,0,"5","GPX3"
"111",0,2.83311329489042,0.466,0.129,0,"5","INSR"
"112",0,3.05134922702805,0.39,0.056,0,"5","RAMP2"
"113",0,2.28351264029904,0.427,0.094,0,"5","CAV1"
"114",0,3.1157219667349,0.351,0.045,0,"5","RGS5"
"115",0,2.99127838971792,0.342,0.049,0,"5","CLEC14A"
"116",0,2.63021454801772,0.375,0.082,0,"5","FLT1"
"117",0,2.39060468945771,0.35,0.073,0,"5","FZD4"
"118",0,2.34595648871765,0.312,0.065,0,"5","CD34"
"119",0,3.18011830347665,0.256,0.037,0,"5","ACKR1"
"120",0,2.60785457168846,0.261,0.042,0,"5","KDR"
"121",0,3.28473551929063,0.698,0.133,0,"6","IGHM"
"122",0,3.00128917898696,0.693,0.141,0,"6","CD37"
"123",0,4.43216036928936,0.582,0.043,0,"6","MS4A1"
"124",0,2.63422745038903,0.592,0.137,0,"6","CIITA"
"125",0,1.80335255893713,0.7,0.279,0,"6","CXCR4"
"126",0,1.69645484761094,0.605,0.215,0,"6","CD53"
"127",0,2.07509425238208,0.539,0.17,0,"6","IL16"
"128",0,2.84896234788282,0.452,0.084,0,"6","CD79A"
"129",0,2.20425121314221,0.437,0.106,0,"6","CD52"
"130",0,2.99895979745465,0.384,0.064,0,"6","CD19"
"131",0,3.52232353462937,0.322,0.039,0,"6","TNFRSF13B"
